screen_no,legacy_screen,module,current_web_status,current_flutter_status,target,wave,target_route,implementation_status,code_evidence,api_evidence,migration_evidence,test_evidence,visual_evidence,uat_evidence,commit_hash,notes
32,Data Piutang Customer,Piutang Dagang,Baca saja,Baca saja,Paritas fungsional 100%,"Gelombang 4 — Penjualan, piutang, penerimaan, dan nota sales",/app/finance/ar/open-items,NOT_STARTED,,,,,,,,
33,Menampilkan Piutang yang Sudah Lunas,Piutang Dagang,Baca saja,Kontrak,Paritas fungsional 100%,"Gelombang 4 — Penjualan, piutang, penerimaan, dan nota sales",/app/finance/ar/open-items?includeSettled=true,NOT_STARTED,,,,,,,,
34,Pembayaran Piutang,Penerimaan Piutang,Operasional,Operasional,Paritas fungsional 100%,"Gelombang 4 — Penjualan, piutang, penerimaan, dan nota sales",/app/finance/ar/receipts/new,NOT_STARTED,,,,,,,,
35,Melihat Pembayaran Piutang,Riwayat Penerimaan Piutang,Baca saja,Baca saja,Paritas fungsional 100%,"Gelombang 4 — Penjualan, piutang, penerimaan, dan nota sales",/app/finance/ar/receipts,NOT_STARTED,,,,,,,,
36,Mencetak Pembayaran Piutang,Laporan Penerimaan Piutang,Baca saja,Kontrak,Paritas fungsional 100%,"Gelombang 4 — Penjualan, piutang, penerimaan, dan nota sales",/app/finance/ar/receipts/report,NOT_STARTED,,,,,,,,
37,Analisis Piutang per Customer,Analisis Piutang,Baca saja,Kontrak,Paritas fungsional 100%,"Gelombang 4 — Penjualan, piutang, penerimaan, dan nota sales",/app/finance/ar/analysis?groupBy=customer,NOT_STARTED,,,,,,,,
38,Analisis Piutang per Sales,Analisis Piutang,Baca saja,Kontrak,Paritas fungsional 100%,"Gelombang 4 — Penjualan, piutang, penerimaan, dan nota sales",/app/finance/ar/analysis?groupBy=sales,NOT_STARTED,,,,,,,,
39,Sales Membawa Nota,Distribusi Nota Sales,Operasional,Operasional,Paritas fungsional 100%,"Gelombang 4 — Penjualan, piutang, penerimaan, dan nota sales",/app/sales/note-custody,NOT_STARTED,,,,,,,,
40,Nota Sales,Nota Penjualan,Operasional,Operasional,Paritas fungsional 100%,"Gelombang 4 — Penjualan, piutang, penerimaan, dan nota sales",/app/sales/note-custody/report,NOT_STARTED,,,,,,,,
41,Laporan Piutang,Laporan Piutang,Baca saja,Kontrak,Paritas fungsional 100%,"Gelombang 4 — Penjualan, piutang, penerimaan, dan nota sales",/app/finance/ar/reports,NOT_STARTED,,,,,,,,
42,Mencetak Laporan Piutang,Laporan Piutang,Baca saja,Kontrak,Paritas fungsional 100%,"Gelombang 4 — Penjualan, piutang, penerimaan, dan nota sales",/app/finance/ar/reports?mode=preview,NOT_STARTED,,,,,,,,
43,Kas dan Jurnal,Kas/Jurnal,Operasional,Kontrak,Paritas fungsional 100%,"Gelombang 5 — Kas, jurnal, akun, dan laba/rugi",/app/finance/journals,NOT_STARTED,,,,,,,,
44,Membuat Perkiraan Baru,Master Perkiraan,Operasional,Kontrak,Paritas fungsional 100%,"Gelombang 5 — Kas, jurnal, akun, dan laba/rugi",/app/finance/accounts,NOT_STARTED,,,,,,,,
45,Menu Laba/Rugi,Laporan Laba Rugi,Baca saja,Baca saja,Paritas fungsional 100%,"Gelombang 5 — Kas, jurnal, akun, dan laba/rugi",/app/finance/reports/profit-loss,NOT_STARTED,,,,,,,,
46,Mencetak Laba Rugi Kotor,Laba Rugi Kotor,Baca saja,Kontrak,Paritas fungsional 100%,"Gelombang 5 — Kas, jurnal, akun, dan laba/rugi",/app/finance/reports/gross-profit,NOT_STARTED,,,,,,,,
47,Laporan Laba/Rugi,Laporan Laba Rugi,Baca saja,Kontrak,Paritas fungsional 100%,"Gelombang 5 — Kas, jurnal, akun, dan laba/rugi",/app/finance/reports/profit-loss?view=detail,NOT_STARTED,,,,,,,,
48,Mencetak Laporan Laba/Rugi,Laporan Laba Rugi,Baca saja,Kontrak,Paritas fungsional 100%,"Gelombang 5 — Kas, jurnal, akun, dan laba/rugi",/app/finance/reports/profit-loss?mode=preview,NOT_STARTED,,,,,,,,
